"","Hit","TTseq_Pos","TTseq_Neg","TTseq_Total","RNAseq_Pos","RNAseq_Neg","RNAseq_Total","TPM_TTseq_Total","TPM_TTseq_Pos","TPM_TTseq_Neg","TPM_RNAseq_Total","TPM_RNAseq_Pos","TPM_RNAseq_Neg","FractionPos_TTseq","FractionPos_RNAseq","Ratio_TTversusRNA","PassThresh_TT","PassThresh_RNA","TT_Enrich"
"Enh145",FALSE,0,5,5,0,0,0,0.0788463964807763,0,0.0788463964807763,0,0,0,0,0,501,TRUE,FALSE,TRUE
"Enh168",TRUE,24,27,51,2,2,4,0.804233244103918,0.378462703107726,0.425770540996192,0.060369118219833,0.0301845591099165,0.0301845591099165,0.470588235294118,0.5,12.7206982543641,TRUE,TRUE,TRUE
"Enh142",FALSE,0,0,0,2,0,2,0,0,0,0.0301845591099165,0.0301845591099165,0,0,1,0.00497512437810945,FALSE,FALSE,FALSE
"Enh143",FALSE,1,0,1,2,0,2,0.0157692792961553,0.0157692792961553,0,0.0301845591099165,0.0301845591099165,0,1,1,0.502487562189055,FALSE,FALSE,FALSE
"Enh116",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh117",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh121",FALSE,0,6,6,0,1,1,0.0946156757769315,0,0.0946156757769315,0.0150922795549583,0,0.0150922795549583,0,0,5.95049504950495,TRUE,FALSE,TRUE
"Enh122",FALSE,0,3,3,0,0,0,0.0473078378884657,0,0.0473078378884657,0,0,0,0,0,301,TRUE,FALSE,TRUE
"Enh124",TRUE,0,16,16,0,0,0,0.252308468738484,0,0.252308468738484,0,0,0,0,0,1601,TRUE,FALSE,TRUE
"Enh125",FALSE,0,0,0,0,1,1,0,0,0,0.0150922795549583,0,0.0150922795549583,0,0,0.0099009900990099,FALSE,FALSE,FALSE
"Enh126",FALSE,1,0,1,0,0,0,0.0157692792961553,0.0157692792961553,0,0,0,0,1,0,101,FALSE,FALSE,FALSE
"Enh127",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh128",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh129",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh130",FALSE,0,6,6,0,0,0,0.0946156757769315,0,0.0946156757769315,0,0,0,0,0,601,TRUE,FALSE,TRUE
