"","TTseq_Counts","RNAseq_Counts","RNAseq_CPM","TTseq_CPM","RNAseq_RPKM","TTseq_RPKM"
"LINC01992",0,0,0,0,0,0
"AC005697.3",0,0,0,0,0,0
"NLK",611,1284,19.3784869485664,9.22138280807949,4.06342775184869,1.93360931182208
"AC061975.8",38,11,0.166015075104541,0.573506623088414,0.106899597620438,0.369289519052424
"AC061975.7",7,3,0.0452768386648748,0.105645956884708,0.0627972797016294,0.146526985970469
"ERVE-1",0,0,0,0,0,0
"AC061975.6",0,0,0,0,0,0
"AC061975.4",0,0,0,0,0,0
"AC061975.1",0,1,0.0150922795549583,0,0.00551618404786486,0
"TMEM97",178,779,11.7568857733125,2.68642576078257,4.01395895299163,0.917181891697702
"IFT20",314,838,12.647330267055,4.73897578025689,3.91922227054695,1.46853913240065
"TNFAIP1",1096,4117,62.1349149277631,16.5411383922342,15.9770930644801,4.25331406331557
"POLDIP2",633,3809,57.486492824836,9.55341295828858,21.5305216572419,3.57805728774853
"TMEM199",649,753,11.3644865048836,9.79488943116791,2.49275861041535,2.14847322464749
"AC002094.2",0,0,0,0,0,0
"SEBOX",0,0,0,0,0,0
"SARM1",615,1851,27.9358094562277,9.28175192629933,2.51560643459953,0.835817372922046
"VTN",5,33,0.498045225313622,0.0754613977747913,0.261578374639508,0.0396330870665921
"AC002094.4",23,13,0.196199634214457,0.34712242976404,0.639086756398884,1.13069195362879
"SLC46A1",146,476,7.18392506816013,2.20347281502391,0.903183941181812,0.277027007169211
"AC015917.2",8,5,0.0754613977747913,0.120738236439666,0.153065715567528,0.244905144908045
"AC005726.1",119,282,4.25602283449823,1.79598126704003,1.32256769251033,0.558104806413932
"SLC13A2",0,0,0,0,0,0
"FOXN1",0,0,0,0,0,0
"UNC119",252,852,12.8586221808244,3.80325444784948,2.50753162652583,0.741664283902005
"PIGS",487,3020,45.5786842559739,7.34994014326467,7.72127464949584,1.24511945506771
"ALDOC",69,460,6.9424485952808,1.04136728929212,2.65790528150107,0.398685792225161
"AC005726.4",0,0,0,0,0,0
"SPAG5",299,972,14.6696957274194,4.51259158693252,2.81136368865838,0.864812492704584
