"Enh","Beluga.MaxDisScore"
"Enh457",1.36169048828809
"Enh458",2.80659709665936
"Enh459",2.21509755004208
"Enh46",2.49066304184794
"Enh460",3.13253251155168
"Enh461",1.02562649291397
"Enh462",2.99913227803532
"Enh463",1.88860305062079
"Enh464",2.36011525798417
"Enh465",2.29705275373238
"Enh466",2.58269441658933
"Enh467",2.13876438130618
"Enh468",2.3649185638885
"Enh469",2.86138156578487
"Enh47",3.29670862102137
"Enh470",1.35471531176925
"Enh471",2.7106340482569
"Enh472",2.7106340482569
"Enh473",2.5450027825382
"Enh474",1.93715488668537
"Enh475",1.76619193425012
"Enh476",1.34565016008368
"Enh477",1.88272870431108
"Enh478",2.59980751123461
"Enh479",3.0004345113393
"Enh48",1.90420320636036
"Enh480",2.93967997093371
"Enh481",2.93967997093371
"Enh482",2.5290018301923
"Enh483",2.50431693224438
"Enh484",2.57528166250511
"Enh485",1.47542214841445
"Enh486",1.63303567966543
"Enh487",1.06145525857577
"Enh488",2.1485581852668
"Enh489",3.43062608921434
"Enh49",1.91324876872238
"Enh490",3.43062608921434
"Enh491",3.36552272883155
"Enh492",2.49066304184794
"Enh493",3.78515614930402
"Enh494",3.55752022936775
"Enh495",2.82944494118553
"Enh496",2.5451551398391
"Enh497",1.8580801260548
"Enh498",2.14972144742066
"Enh499",3.95860731089343
"Enh5",2.60695153340753
"Enh50",2.8236193074674
"Enh500",1.78757266724678
"Enh501",2.52172216793601
"Enh502",2.52988364670187
"Enh503",2.41782296219794
"Enh504",1.62358730299053
"Enh505",2.67923077145381
"Enh506",4.07572070876809
"Enh507",0.912438623688056
"Enh508",2.30486870220834
"Enh509",3.19111413196583
"Enh51",2.1293620367307
"Enh510",2.66454209911002
"Enh511",2.0527623920803
"Enh512",2.0527623920803
"Enh513",3.23358715214392
"Enh514",3.23358715214392
"Enh515",2.30042240851435
"Enh516",1.41560092240926
"Enh517",1.9666968985872
"Enh518",2.00335700860076
"Enh519",2.06043083129418
"Enh52",1.55403792366035
"Enh520",4.12493873081743
"Enh521",1.13255608370997
"Enh522",2.76270766218106
"Enh523",2.76270766218106
"Enh524",2.08165507098531
"Enh525",0.921021472011537
"Enh526",3.03245202331313
"Enh529",2.56911905338607
"Enh53",2.94271435520114
"Enh530",1.77149698331508
"Enh531",1.52402389584572
"Enh532",1.65755757894842
"Enh533",2.58821199528786
"Enh534",2.76522970458615
"Enh535",2.76522970458615
"Enh536",3.34486156422778
"Enh537",3.31069113998829
"Enh538",3.36451625217979
"Enh539",3.36451625217979
"Enh54",3.26042765475883
"Enh540",2.35124978720447
"Enh541",2.48333244076879
"Enh542",1.21573941742678
"Enh543",2.67860872148111
"Enh544",1.64320953962919
"Enh545",2.22599426966871
"Enh546",3.20690839912408
"Enh547",2.70509308917458
"Enh548",2.52563802382168
"Enh549",3.07727454148788
"Enh550",2.28709787486866
"Enh551",1.24812069092064
"Enh552",2.13312218560349
"Enh553",2.68951910832484
"Enh554",1.60065515180232
"Enh555",1.39521253597142
"Enh556",2.93930215926875
"Enh557",2.17770112867225
"Enh558",2.227825039102
"Enh559",2.04686877476818
"Enh56",1.25509708555716
"Enh560",2.24108810752637
"Enh561",2.84073366860555
"Enh562",1.53001607387659
"Enh563",1.48989755216955
"Enh564",2.96859153534436
"Enh565",2.35124978720447
"Enh566",1.4310945850054
"Enh567",1.4310945850054
"Enh568",3.31695296086014
"Enh569",2.17224313695681
"Enh57",2.21681130885319
"Enh570",1.72468864543515
"Enh571",1.87618101394834
"Enh572",1.73249974058328
"Enh573",1.62607704759706
"Enh574",2.38859536218214
"Enh575",1.96649582701462
"Enh576",3.64589155893083
"Enh577",3.64589155893083
"Enh578",2.73306308860595
"Enh579",4.42021639195459
"Enh58",2.21681130885319
"Enh580",1.80612438781985
"Enh581",1.80612438781985
"Enh582",1.63447457752457
"Enh583",2.33989377818176
"Enh584",2.36855623088535
"Enh585",2.24879790533463
"Enh586",2.47262791704344
"Enh587",2.47262791704344
"Enh588",1.74026281322485
"Enh589",1.04601331708484
"Enh59",1.66798594197421
"Enh590",3.31336372984411
"Enh591",2.05913502398351
"Enh592",1.63169451614212
"Enh593",3.79860287294808
"Enh594",3.79860287294808
"Enh595",1.65902078337656
"Enh596",2.41759570186737
"Enh597",1.81273316179249
"Enh598",0.740802852782387
"Enh599",1.23043806414456
"Enh6",1.3828633076119
"Enh60",2.53715296401873
"Enh600",1.87791524925634
"Enh601",2.02022406722481
"Enh602",2.18876022717964
"Enh603",2.50737927781711
"Enh604",3.567030707523
"Enh605",3.86012091045179
"Enh606",1.42165882515052
"Enh607",1.65902078337656
"Enh608",1.53512312852692
"Enh609",2.8474059217669
"Enh61",2.40044440890482
"Enh610",2.09023008521377
"Enh611",2.03105031897201
"Enh612",1.78335914164818
"Enh613",1.88749554119932
"Enh614",3.75448732971811
"Enh615",3.75448732971811
"Enh616",3.61439372461448
"Enh617",2.20038379544961
"Enh618",2.77083029720468
"Enh619",1.93715488668537
"Enh62",2.95546023921563
"Enh620",0.700120235090126
"Enh621",2.37747513749286
"Enh622",2.37747513749286
"Enh623",2.491874463782
"Enh624",2.05551732780048
"Enh625",2.50501102617791
"Enh626",1.82812734383108
"Enh627",2.21176090254711
"Enh628",0.75320854154253
"Enh629",1.21456338438528
"Enh63",1.65959554854771
"Enh630",1.85558148136679
"Enh631",1.63243909560852
"Enh632",2.78436243630059
"Enh633",1.7195126862154
"Enh634",3.62708799518964
"Enh635",2.88173527357975
"Enh636",2.83356988586068
"Enh637",2.83356988586068
"Enh638",1.71830773281636
"Enh639",2.33077612597617
"Enh64",1.88749554119932
"Enh640",2.63676419532814
